RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JA493876,,11/01/2017 12:15:00 AM,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/01/2017 12:15:00 AM,TEXTING,CELL PHONE USE OTHER THAN TEXTING,2500,S,PULASKI RD,1013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,4,11,41.846037569,-87.724761371,POINT (-87.724761370522 41.846037568964)
JA493912,,11/01/2017 12:58:00 AM,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/01/2017 12:59:00 AM,NOT APPLICABLE,NOT APPLICABLE,2402,E,83RD ST,423,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,4,11,41.744572824,-87.56598929,POINT (-87.565989289594 41.744572823845)
JA493934,,11/01/2017 01:13:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),6,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",11/01/2017 01:15:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,2998,W,FULLERTON AVE,1414,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,4,11,41.924873483,-87.702224735,POINT (-87.702224735159 41.924873482871)
JA493925,,11/01/2017 01:21:00 AM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/01/2017 01:21:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,5758,W,AUGUSTA BLVD,1511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,4,11,41.898536677,-87.770326496,POINT (-87.770326495689 41.89853667688)
JA511641,,11/01/2017 01:30:00 AM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FIXED OBJECT,NOT DIVIDED,4,STRAIGHT AND LEVEL,UNKNOWN,OTHER,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/14/2017 03:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,930,E,65TH ST,314,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,4,11,41.776927723,-87.602172174,POINT (-87.602172173881 41.776927723419)
JA493944,,11/01/2017 02:02:00 AM,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,N,"OVER $1,500",11/01/2017 02:10:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5146,W,LE MOYNE ST,2533,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,4,0,2,4,11,41.907803663,-87.755335829,POINT (-87.755335828805 41.907803662893)
JA493953,Y,11/01/2017 02:15:00 AM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED - W/MEDIAN BARRIER,3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/01/2017 02:25:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8300,S,STONY ISLAND AVE,412,Y,,,,,,2,FATAL,1,1,0,0,0,1,0,2,4,11,41.744151639,-87.585945067,POINT (-87.585945066953 41.744151639042)
JA493958,,11/01/2017 02:27:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/01/2017 02:29:00 AM,IMPROPER OVERTAKING/PASSING,FAILING TO YIELD RIGHT-OF-WAY,1425,W,59TH ST,713,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,2,4,11,41.786690146,-87.660695614,POINT (-87.660695614345 41.786690146188)
JA493970,,11/01/2017 03:18:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/01/2017 03:18:00 AM,EXCEEDING SAFE SPEED FOR CONDITIONS,NOT APPLICABLE,1000,N,CLARK ST,1824,Y,Y,,,,,2,FATAL,2,2,0,0,0,0,0,3,4,11,41.900615096,-87.631498753,POINT (-87.63149875311 41.900615096028)
JA493978,,11/01/2017 03:25:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/01/2017 03:40:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,7200,S,YATES BLVD,334,,Y,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,3,4,11,41.764343255,-87.566632526,POINT (-87.566632525994 41.764343255101)
