ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,notice_number,hearing_disposition,officer,year,month,hour,location,point,lt,ln,other
7007588184,11/1/2017 0:26,5200 W MADISON STREET Chicago IL,82f909293408bfaf8e972c4e7a0c5b0ed0ecbb88bb40611b1069b170b9542968,IL,PAS,60644,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,170,30,Notice,1/18/2018 0:00,SEIZ,5060485580,Liable,XERX,2017,11,0,"West Madison Street, West Garfield Park, Chicago, Cook County, Illinois, 60644, United States of America","(41.8805978, -87.7332498, 0.0)",41.8805978,-87.7332498,1
7007588230,11/1/2017 2:09,5200 N WESTERN AVE Chicago IL,3be6c1098e5ff632132277528e0fd8f782bc5b708c07ea5337b9b93b6d141b1e,IL,PAS,605866673,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,0,Dismissed,4/5/2018 0:00,VIOL,5208055660,Not Liable,XERX,2017,11,2,"North Western Avenue, Granville Gardens, West Ridge, Chicago, Cook County, Illinois, 60645, United States of America","(41.9981173, -87.6899025, 0.0)",41.9981173,-87.6899025,1
6045646274,11/1/2017 6:07,4053 W NORTH AVE Chicago IL,11fc2de2ac2f2d74555edb9f235c913f10ae436d19585617d2801e1a31ce1c6c,IL,PAS,606511152,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,3/29/2018 0:00,DETR,5209289600,Liable,SPEED,2017,11,6,"4047-4053, West North Avenue, Beat 2534, Humboldt Park, Chicago, Cook County, Illinois, 60302, United States of America","(41.90961115, -87.7282650027715, 0.0)",41.9096112,-87.7282650,1
6045646291,11/1/2017 6:22,5885 N RIDGE AVE Chicago IL,1240e1996726c6770d2d717c4264fd52dc7a013e7fe0226de19bf05c964a710e,IL,TXI,60618,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,0,Dismissed,11/24/2017 0:00,VIOL,5044442220,Not Liable,SPEED,2017,11,6,"5885, North Ridge Avenue, Edgewater, Chicago, Cook County, Illinois, 60660, United States","(41.9886893105033, -87.6685124239711, 0.0)",41.9886893,-87.6685124,1
6045646372,11/1/2017 7:05,4042 W NORTH AVE Chicago IL,9a19f25838045cb39fe6ca85a27185cc1f83a97a428a401da33d4a93686d2f36,IL,PAS,606102694,9101020*,SPEED VIOLATION 6-10,SPD,Speed,OTHR,35,70,0,35,Paid,3/27/2018 0:00,DETR,5125909640,Liable,SPEED,2017,11,7,"4042, West North Avenue, Beat 2534, Humboldt Park, Chicago, Cook County, Illinois, 60302, United States of America","(41.9101724, -87.72803565, 0.0)",41.9101724,-87.7280357,1
7007588307,11/1/2017 7:11,1600 W LAWRENCE AVENUE Chicago IL,f71ab3f5ff2fb61149649cae5175d89d9c37e248e649b94076d9471cc357224c,IL,PAS,624541254,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,3/14/2018 0:00,DETR,5208965900,Liable,XERX,2017,11,7,"1600, West Lawrence Avenue, Winnemac, Uptown, Chicago, Cook County, Illinois, 60640, United States","(41.968954, -87.670281, 0.0)",41.9689540,-87.6702810,1
6045646396,11/1/2017 7:19,5816 W JACKSON Chicago IL,96c1fc3604bbd6a7d45cb341f9a361bf32a872d5162ae7b26d9e9c05e16b516c,IL,PAS,606072953,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,2/26/2018 0:00,DETR,5191065800,Liable,SPEED,2017,11,7,,,,,1
6045649175,11/1/2017 7:21,5509 W FULLERTON Chicago IL,c885836a70e413d5c842cb3f0404f51a515ebf7737569d740eb600b0064ad374,IL,PAS,60163,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,3/22/2018 0:00,DETR,5202210140,Liable,SPEED,2017,11,7,,,,,1
7007656353,11/1/2017 7:25,5232 N MILWAUKEE AVE Chicago IL,3817433a78d73898857561290f0bd3827de0c1e350a18e9660e5504d04d2f7d8,IL,PAS,606455104,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,4/16/2018 0:00,DETR,5210421880,Liable,XERX,2017,11,7,"5232, North Milwaukee Avenue, Jefferson Park, Chicago, Cook County, Illinois, 60630, United States of America","(41.9749759489277, -87.7672529925456, 0.0)",41.9749760,-87.7672530,1
6045649191,11/1/2017 7:35,4707 W PETERSON AVE Chicago IL,0a5c4ca1a91a5798d8a2f23fa752094273e6aa3b2a4bc438a507950ffd91706f,IL,PAS,607144442,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,3/21/2018 0:00,DETR,5209179530,Liable,SPEED,2017,11,7,"4707, West Peterson Avenue, Sauganash, Forest Glen, Chicago, Cook County, Illinois, 60646, United States of America","(41.9896463, -87.7463281366397, 0.0)",41.9896463,-87.7463281,1
