ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,notice_number,hearing_disposition,officer,year,month,hour
7007588195,2017-11-01 00:00:00,3200 N LAKESHORE DRIV,0790828755d37aada2d8a4357e5f830bec754d75ad8e16f480a6eebc00248eea,IL,PAS,60016,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-16 00:00:00,FINL,5209102480,,XERX,2017,11,0
7007588223,2017-11-01 00:02:00,5500 S WENTWORTH AVEN,353249ea8135184f4b61c77962333cd98880f887266de86b682f8ddeb4b98f84,IL,PAS,606293913,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,244,0,Notice,2017-11-15 00:00:00,FINL,5195700910,,XERX,2017,11,0
7007588129,2017-11-01 00:05:00,2800 W DIVERSEY,9ea87fe87647e6dfe9c864f98fda6ea4b25d1e3da35832feeb744874a7894806,IL,PAS,607073426,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-11-28 00:00:00,VIOL,5202347850,,XERX,2017,11,0
7007588175,2017-11-01 00:05:00,8700 S VINCENNES,2e812ef937c97b50f49edadf427a6b0008a4e95a733d35ef2296fa571aefe144,IL,PAS,606374511,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,FINL,5208965610,,XERX,2017,11,0
7007588210,2017-11-01 00:07:00,7900 S STATE STREET,c99f3d76e19b918cf3f60afec7f71e8d66d8d6333684d45aa129c251b8855a11,IL,PAS,60620,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,SEIZ,5206984150,,XERX,2017,11,0
7007588198,2017-11-01 00:08:00,4700 S WESTERN AVENUE,42c50d94d05031d4dd9bfa5d40735a50b04a04bb7204f337f931c074bf50c58d,IL,PAS,606234652,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-15 00:00:00,VIOL,5208965650,,XERX,2017,11,0
7007588155,2017-11-01 00:10:00,3400 W NORTH AVE,76beccf934d3a06216038faeb10b516881a2fccc942431fde0e003c66fee9f33,IL,PAS,604383524,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-26 00:00:00,DETR,5192701500,,XERX,2017,11,0
7007588346,2017-11-01 00:11:00,1 S HALSTED STREET,b3c10ec899745b1aeeb25b1cc0c84451f177e73211e72229860680dff0c3bb5e,IL,PAS,605273266,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-27 00:00:00,DETR,5197019480,,XERX,2017,11,0
7007588180,2017-11-01 00:14:00,8700 S VINCENNES,e87ace0ddcc38dd45cf9d33367ecceecf1d19a076f237fa42a57e5320b9d20e1,IL,PAS,606172317,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-11-30 00:00:00,VIOL,5208965620,,XERX,2017,11,0
7007588179,2017-11-01 00:14:00,8700 S VINCENNES,377d3b0bd4c1dee184edd548f913096bb4c1c20fbb72bb04be4cdfd32d30ec3e,IL,PAS,606431578,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,244,0,Notice,2017-11-15 00:00:00,FINL,5014692160,,XERX,2017,11,0
7007588181,2017-11-01 00:15:00,8700 S VINCENNES,5d748b816862360678b27ef97dedab83b2fab7ec04ceb9c92b0ab3e72b8adc8c,IL,PML,606435928,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-04 00:00:00,VIOL,5150528330,,XERX,2017,11,0
7007588131,2017-11-01 00:19:00,2800 W DIVERSEY,4c8cf09b12b258533bf74f758baeefb76e310b96a9f4d418cd9eec4be4236494,IL,PAS,60714,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-05 00:00:00,VIOL,5206957860,,XERX,2017,11,0
7007588217,2017-11-01 00:20:00,6700 S STONY ISLAND A,93b62dcaa3763ac9da080074c1f9f70fb9fbdb74e891db338ad53a42aff4415b,VA,PAS,60628,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-12 00:00:00,VIOL,5151222840,,XERX,2017,11,0
7007588174,2017-11-01 00:20:00,600 S CICERO AVENUE,98dabe7bf81f4c152bac6ede351df2474aa3b6c81f068e634a83e7d4a13fbc02,IL,PAS,606242957,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-03 00:00:00,DETR,5208965600,,XERX,2017,11,0
7007588211,2017-11-01 00:22:00,1 E 79TH STREET,553ac00400fbc017d9086aa6b39dc8999bbb00469b074e63e4f09d43bc9a1e12,IL,PAS,606493683,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,FINL,5201307250,,XERX,2017,11,0
7007588158,2017-11-01 00:25:00,4400 W ROOSEVELT,efa4a7713c0d3e360034c323a7c477f463b39c41e5e8ad3d1d87b8640188e763,IL,PAS,606234311,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-13 00:00:00,VIOL,5186494100,,XERX,2017,11,0
7007588184,2017-11-01 00:26:00,5200 W MADISON STREET,82f909293408bfaf8e972c4e7a0c5b0ed0ecbb88bb40611b1069b170b9542968,IL,PAS,60644,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,170,30,Notice,2018-01-18 00:00:00,SEIZ,5060485580,Liable,XERX,2017,11,0
7007588149,2017-11-01 00:26:00,2000 W DIVISION,bfb88c0f200fadb478433da562ecb7ae723bab464550c159f9393d7910644f12,IL,PAS,609144782,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-16 00:00:00,FINL,5207223960,,XERX,2017,11,0
7007588224,2017-11-01 00:26:00,5500 S WENTWORTH AVEN,377d3b0bd4c1dee184edd548f913096bb4c1c20fbb72bb04be4cdfd32d30ec3e,IL,PAS,606431578,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,175,69,Notice,2017-11-15 00:00:00,FINL,5014692160,,XERX,2017,11,0
7007588190,2017-11-01 00:29:00,3200 N KEDZIE AVE,5b03c1ea3728630d4965a6dda62cee093deebb442dc4d32b0daccc47f9f30475,IL,PAS,606455304,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-18 00:00:00,VIOL,5111425340,,XERX,2017,11,0
7007588185,2017-11-01 00:31:00,1000 W HOLLYWOOD AVE,d142ae5b23bff35dc4c086fe001f660cb106acc357b7277acfcd4a39c77ee429,IL,PAS,60623,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-05 00:00:00,VIOL,5205824450,,XERX,2017,11,0
7007588157,2017-11-01 00:34:00,7432 W TOUHY AVENUE,0de3570f4de5ecf56ca097b6e4251a1dd763bc86f606445e4ad50e5e9489941b,IL,PAS,600164217,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-17 00:00:00,VIOL,5209102470,,XERX,2017,11,0
7007588148,2017-11-01 00:35:00,800 N WESTERN AVE,5a0db3c1f46ae9a7881c177e0d2d716a15eca07075f91e2bf39c05d7d7f2b421,IL,PAS,606225018,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,200,Paid,2018-03-20 00:00:00,SEIZ,5194657660,,XERX,2017,11,0
7007588177,2017-11-01 00:35:00,600 S CICERO AVENUE,8a4f7bd709aa663de3d084b0ef01b4fa9e1c587d0ee7e6e6b730b36ab7ef5ff9,IL,PAS,60804,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,FINL,5205259520,,XERX,2017,11,0
7007588138,2017-11-01 00:38:00,300 N HAMLIN AVENUE,271c4682a8fc76a50b22b357d196f4445728f1835e8ef1ecb4f6cbbc670d8f21,IL,PAS,606513840,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,SEIZ,5200286000,,XERX,2017,11,0
7007588168,2017-11-01 00:39:00,150 N SACRAMENTO BOUL,d4aabcebf97e3d1b1f171c8866637fcea296cecdc1862c9b2d07793653027046,IL,TMP,60623,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,FINL,5208965580,,XERX,2017,11,0
7007588209,2017-11-01 00:39:00,7600 S STONY ISLAND A,95890f369470452f0d9322b74d6427376861207e50f07715ebdc5b3c94331453,IL,PAS,606204845,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-16 00:00:00,FINL,5209102490,,XERX,2017,11,0
7007588162,2017-11-01 00:43:00,1600 W DIVISION STREET,ba38a149405cb53b29e81a5c22a643fa7acc7b7bdd0a67e73390a5edd0599407,IL,PAS,601813645,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-22 00:00:00,DETR,5207947570,,XERX,2017,11,0
7007588246,2017-11-01 00:44:00,1000 W HOLLYWOOD AVE,95c8b896c3cd62cc2a7a70dbc0607f0dcbd6af1850cec1750fb3740075f2f709,IL,PAS,605261308,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-07 00:00:00,DETR,5208965730,,XERX,2017,11,0
7007588137,2017-11-01 00:49:00,2400 N CLARK ST,1a01d8417c93fe27aa1c9073412a4d480b478b4bfd517486777c8e6fc7752390,IL,PAS,60062,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-11-29 00:00:00,VIOL,5203544280,,XERX,2017,11,0
7007588247,2017-11-01 00:49:00,1000 W HOLLYWOOD AVE,c9560701ec5c7004afe88929a3f0f310a445c50dd02214af1116bfea3419baca,IL,PAS,606083610,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-26 00:00:00,DETR,5177740800,,XERX,2017,11,0
7007588347,2017-11-01 00:51:00,1 S HALSTED STREET,4f36543efd7c1f74a6858f8af2745bb89c03df0a27a0c1bc89973e44d5d3b2fd,IL,PAS,60619,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-16 00:00:00,SEIZ,5208547020,,XERX,2017,11,0
7007588202,2017-11-01 00:52:00,1 E 75TH STREET,8142598005b65bda7639af7efa6f8590db5cefa5889ea99bd199893ab5bf3aeb,WI,PAS,60631,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2018-02-09 00:00:00,DLS,5207268160,,XERX,2017,11,0
7007588221,2017-11-01 00:53:00,4200 S CICERO AVENUE,b92a193c76c7c8e0d2a9ebed2e25253b2ff6a2d3919bc6a1fa66a917c63a9323,IL,PAS,609501262,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,FINL,5212891180,,XERX,2017,11,0
7007588194,2017-11-01 00:59:00,30 W 87TH STREET,b8a79773046d11475d890ba168f7cfc05d783a0447aad2adbe2c003b2b1826fb,IL,PAS,606373607,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,SEIZ,5208965640,,XERX,2017,11,0
7007588251,2017-11-01 01:00:00,11100 S HALSTED ST,1ecbf730c313b5054ac9ed6bd24e8a42ee2926697817918fe6e485450a6b9580,IL,PAS,606431343,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,100,0,Court,2017-12-21 00:00:00,VIOL,5206302110,,XERX,2017,11,1
7007588156,2017-11-01 01:00:00,2800 W IRVING PARK ROA,21519a901b88a5446220a429e48e2ba19f24d710e9cec19ffc2d9e4c487b4b8c,IL,PAS,600604630,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-22 00:00:00,DETR,5195214440,,XERX,2017,11,1
7007588220,2017-11-01 01:05:00,4700 W IRVING PARK ROA,a4b9efa9f1e1e6f27b1dc8259353f0ab052c48eefccdaa41766c2c82065be882,IL,TRK,60513,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,FINL,5208965690,,XERX,2017,11,1
7007588150,2017-11-01 01:05:00,2400 W CHICAGO AVE,323e4db2fc4c2b57053c85399e616fafa1f7382f6e47c7ed86fd9d66626c97ac,IL,PAS,60612,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-02 00:00:00,DETR,5206507510,,XERX,2017,11,1
7007588206,2017-11-01 01:08:00,3200 W 55TH STREET,dd99c1f62d10ae0e6ccbbd4d6a7bbe6b0022406839b7584f0c15d0a89e94de8b,IL,PAS,60419,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-11-28 00:00:00,VIOL,5208965680,,XERX,2017,11,1
7007588252,2017-11-01 01:10:00,11100 S HALSTED ST,4f39e87054c90a5c71a7709ad27210cf47928b8ce6b614ec1d5287f707673df5,IL,PAS,606204750,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-16 00:00:00,FINL,5209102520,,XERX,2017,11,1
7007588204,2017-11-01 01:11:00,1 E 75TH STREET,8eb0dfc658d49d3a8a6775e79f83aeb55effe10670d32c407d3df81445271091,IL,PAS,60620,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Bankruptcy,2018-05-02 00:00:00,SEIZ,5013922640,,XERX,2017,11,1
7007588263,2017-11-01 01:12:00,3200 N LAKESHORE DRIV,11fd197a47bfa9d4ffdc67f48b19beb86f376a5d8c852afd5e04051b020f0424,IL,PAS,60626,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,SEIZ,5208965790,,XERX,2017,11,1
7007588152,2017-11-01 01:12:00,4400 N WESTERN AVENUE,e8638d2d55f9e3e4a4d1969be4c85dffed866c78d281a1eb8e3ec2d58c2c42e4,IL,PAS,606342627,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,244,Paid,2018-03-21 00:00:00,SEIZ,5191011140,,XERX,2017,11,1
7007588207,2017-11-01 01:13:00,1 E 75TH STREET,88cd609aad111bd6f3d5b954e2ff81020a076be6f5012b070437ac2e21d57285,IL,PAS,604061125,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,SEIZ,5202072420,,XERX,2017,11,1
7007588205,2017-11-01 01:13:00,1 E 75TH STREET,c53dd3ab3cfd9b1eba9a4d99cd344119871bc99e84bde2bf6d399cbca9eed6bc,IL,PAS,606592247,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-15 00:00:00,SEIZ,5203788040,,XERX,2017,11,1
7007588147,2017-11-01 01:16:00,6000 N CICERO AVENUE,3127cfc19f1c2c3daeb029849f1e8848f43033ffb483379bca5749e79617ec55,IL,PAS,607144126,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,244,0,Notice,2017-11-15 00:00:00,SEIZ,5097418730,,XERX,2017,11,1
7007588235,2017-11-01 01:17:00,2400 W ADDISON,bbf7bf1b1fddc22fec42e5967a2003943fafd0c0b7a6d95a48b8b141843db000,IL,PAS,600771632,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,200,Paid,2018-05-16 00:00:00,FINL,5209124220,,XERX,2017,11,1
7007588248,2017-11-01 01:19:00,1000 W HOLLYWOOD AVE,411f83c4719737d70fa6c6a7cb194f1b2b13df21468f92a5801e65b4cbc63718,IL,PAS,60616,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-16 00:00:00,SEIZ,5208866240,,XERX,2017,11,1
7007588132,2017-11-01 01:21:00,4000 N CLARK STREET,8edf63a6ffefc86ef4d2c86aad4090c6c5185c20fc50e8396318de7ba9eeace9,IL,PAS,60626,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2017-12-17 00:00:00,VIOL,5208965500,,XERX,2017,11,1
7007588182,2017-11-01 01:25:00,4800 W NORTH AVENUE,5728d9b37d23be211ed4094e875c8e81fa8bdb24c68af03ca16cac59576cc7fe,IL,PAS,606222758,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2018-01-15 00:00:00,DETR,5203371060,,XERX,2017,11,1
7007588164,2017-11-01 01:26:00,1200 N PULASKI ROAD,1d8478395db03d8d9703867e68fe0e8f99b5935a731a46bc0e05f42e2b8b57f6,IL,PAS,606415239,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,2017-11-16 00:00:00,SEIZ,5143662290,,XERX,2017,11,1
