RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Join
JA493876,,11/1/2017 0:15,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/1/2017 0:15,TEXTING,CELL PHONE USE OTHER THAN TEXTING,2500,S,PULASKI RD,1013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,4,11,41.84603757,-87.72476137,POINT (-87.724761370522 41.846037568964),1
JA493912,,11/1/2017 0:58,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/1/2017 0:59,NOT APPLICABLE,NOT APPLICABLE,2402,E,83RD ST,423,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,4,11,41.74457282,-87.56598929,POINT (-87.565989289594 41.744572823845),1
JA493934,,11/1/2017 1:13,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),6,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",11/1/2017 1:15,UNABLE TO DETERMINE,NOT APPLICABLE,2998,W,FULLERTON AVE,1414,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,4,11,41.92487348,-87.70222474,POINT (-87.702224735159 41.924873482871),1
JA493925,,11/1/2017 1:21,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/1/2017 1:21,UNABLE TO DETERMINE,NOT APPLICABLE,5758,W,AUGUSTA BLVD,1511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,4,11,41.89853668,-87.7703265,POINT (-87.770326495689 41.89853667688),1
JA511641,,11/1/2017 1:30,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FIXED OBJECT,NOT DIVIDED,4,STRAIGHT AND LEVEL,UNKNOWN,OTHER,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/14/2017 15:30,UNABLE TO DETERMINE,UNABLE TO DETERMINE,930,E,65TH ST,314,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,4,11,41.77692772,-87.60217217,POINT (-87.602172173881 41.776927723419),1
JA493944,,11/1/2017 2:02,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,N,"OVER $1,500",11/1/2017 2:10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5146,W,LE MOYNE ST,2533,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,4,0,2,4,11,41.90780366,-87.75533583,POINT (-87.755335828805 41.907803662893),1
JA493953,Y,11/1/2017 2:15,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED - W/MEDIAN BARRIER,3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/1/2017 2:25,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8300,S,STONY ISLAND AVE,412,Y,,,,,,2,FATAL,1,1,0,0,0,1,0,2,4,11,41.74415164,-87.58594507,POINT (-87.585945066953 41.744151639042),1
JA493958,,11/1/2017 2:27,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/1/2017 2:29,IMPROPER OVERTAKING/PASSING,FAILING TO YIELD RIGHT-OF-WAY,1425,W,59TH ST,713,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,2,4,11,41.78669015,-87.66069561,POINT (-87.660695614345 41.786690146188),1
JA493970,,11/1/2017 3:18,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/1/2017 3:18,EXCEEDING SAFE SPEED FOR CONDITIONS,NOT APPLICABLE,1000,N,CLARK ST,1824,Y,Y,,,,,2,FATAL,2,2,0,0,0,0,0,3,4,11,41.9006151,-87.63149875,POINT (-87.63149875311 41.900615096028),1
JA493978,,11/1/2017 3:25,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/1/2017 3:40,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,7200,S,YATES BLVD,334,,Y,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,3,4,11,41.76434326,-87.56663253,POINT (-87.566632525994 41.764343255101),1
